647	509	290	234	212
652	468	299	244	229
653	448	330	289	223
813	416	395	345	275
656	404	392	345	248
668	465	250	216	295
626	453	200	229	346
788	477	220	243	238
826	465	270	228	222
712	394	230	184	194
722	402	220	205	182
550	373	223	231	151
761	369	239	248	165
625	442	243	255	178
687	431	255	269	183
694	469	261	275	196
619	478	278	284	204
613	322	222	233	152
624	338	232	248	169
639	511	241	255	178
642	599	250	264	184
656	454	260	275	193
663	492	240	257	172
678	451	250	260	185
682	460	260	270	191
735	523	240	250	172
747	511	250	260	185
820	489	260	270	191
