Object ID,CNN Segment ID,Code,Cross Street 1,Cross Street 2,Detection Type,Cross Street 3,Supervisor District,Cross Street 4,Equipment Type,Vehicle Actuation,Pedestrian Signal,Pedestrian Actuation,Preemption Priority,Upgraded,Year of Contract,Last Upgraded,New Signals Project,Modification Project,Full Upgrade Project,Beacon Flasher,Funding Source,Red Light Camera,Start Year,CALTRANS Route,Maintained CALTRANS,Percent Caltrans Maintenance,Maintained SF,Percent SF Maintenance,Percent Port Maintenance,Last Edited Date,Geom
3608,26608000,Fix,BUSH,FILLMORE,OPTICOM, ,5, ,SIGNAL, ,ALL, ,FIRE PREEMPT,FULL DONE,10/01, ,NONE,NONE,DONE,NONE,SALES TAX, ,1949, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7870256123, -122.433473135)"
3609,25216000,Fix,FRANKLIN,POST, , ,"2,5", ,SIGNAL, ,ALL, , ,FULL DONE, , ,NONE,NONE,DONE,NONE,SALES TAX, ,9999, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7864072646, -122.42322709)"
3610,26494000,Fix,GEARY,GOUGH,OPTICOM,PETER YORKE,"2,5",STARR KING,SIGNAL, ,ALL, ,"TSP,FIRE PREEMPT",FULL PENDING, , ,NONE,NONE,PENDING,NONE,SALES TAX, ,1953, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7853395671, -122.424700258)"
3611,25213000,RLC,FRANKLIN,GEARY,OPTICOM, ,"2,5", ,SIGNAL, ,ALL, ,"TSP,FIRE PREEMPT",FULL DONE, , ,NONE,NONE,DONE,NONE,SALES TAX, ,9999, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7854871891, -122.42304077)"
3612,26614000,Fix,POST,STEINER, , ,5, ,SIGNAL, ,NONE, , ,NONE, , , , , , , , ,1957, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7849489501, -122.43474321)"
3613,26592000,Fix,FILLMORE,POST,OPTICOM, ,5, ,SIGNAL, ,ALL, ,"TSP,FIRE PREEMPT",NONE, , , , , , , , ,1957, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7851558849, -122.433096617)"
3614,26591000,Fix,POST,WEBSTER, , ,5, ,SIGNAL, ,ALL, , ,MOD PENDING, , ,NONE,PENDING,NONE,NONE,SALES TAX, ,1957, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7853775919, -122.431379614)"
3615,26505000,Fix,LAGUNA,POST,OPTICOM, ,5, ,SIGNAL, ,ALL, ,"TSP,FIRE PREEMPT",NONE, , , , , , , , ,1957, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.785789433, -122.428161404)"
3616,25190000,Fix,ELLIS,VAN NESS, , ,"5,6", ,SIGNAL, ,PENDING, , ,FULL PENDING, , ,NONE,NONE,PENDING,NONE,STATE/CITY, ,1948,101(b), ,50,X,50,,06/21/2017 12:00:00 AM +0000,"(37.7838290628, -122.421021577)"
3617,25186000,Fix,EDDY,VAN NESS, , ,"5,6", ,SIGNAL, ,PENDING, , ,FULL PENDING, , ,NONE,NONE,PENDING,NONE,STATE/CITY, ,1948,101(b), ,50,X,50,,06/21/2017 12:00:00 AM +0000,"(37.7828990663, -122.420830219)"
